	posicao	nome	cargo	partido	pontuacao	estado	presidente
132	131	Geovania de Sá 	Deputado Federal	PSDB	7.04	SC	False
133	131	Jayme Campos	Senador	UNIÃO	7.04	MT	False
134	134	Delegado Éder Mauro 	Deputado Federal	PL	7.03	PA	False
135	134	Daniel Silveira 	Deputado Federal	PTB	7.03	RJ	False
136	136	Marcelo Moraes 	Deputado Federal	PL	7.02	RS	False
137	137	Luisa Canziani 	Deputado Federal	PSD	7.01	PR	False
138	138	Marcelo Ramos 	Deputado Federal	PSD	7.0	AM	False
139	138	Liziane Bayer 	Deputado Federal	REPUBLICANOS	7.0	RS	False
140	140	Eduardo Gomes	Senador	PL	6.99	TO	False
141	140	Felício Laterça 	Deputado Federal	PP	6.99	RJ	False
142	142	Onyx Lorenzoni 	Deputado Federal	PL	6.98	RS	False
143	143	Eduardo Barbosa 	Deputado Federal	PSDB	6.97	MG	False
144	143	Roberto de Lucena 	Deputado Federal	REPUBLICANOS	6.97	SP	False
145	143	Alvaro Dias	Senador	PODEMOS	6.97	PR	False
146	146	Daniella Ribeiro	Senador	PSD	6.96	PB	False
147	146	Celso Russomanno 	Deputado Federal	REPUBLICANOS	6.96	SP	False
148	146	Lourival Gomes 	Deputado Federal	PP	6.96	RJ	False
149	149	Eduardo Costa 	Deputado Federal	PSD	6.95	PA	False
150	149	Ricardo Guidi 	Deputado Federal	PSD	6.95	SC	False
151	151	Vitor Lippi 	Deputado Federal	PSDB	6.94	SP	False
152	152	Neucimar Fraga	Deputado Federal	PP	6.93	ES	False
153	152	Rodrigo Pacheco	Senador	PSD	6.93	MG	True
154	152	Marcos Pereira 	Deputado Federal	REPUBLICANOS	6.93	SP	False
155	152	Enrico Misasi 	Deputado Federal	MDB	6.93	SP	False
156	152	Gil Cutrim 	Deputado Federal	REPUBLICANOS	6.93	MA	False
157	157	Sergio Souza 	Deputado Federal	MDB	6.92	PR	False
158	157	Capitão Augusto 	Deputado Federal	PL	6.92	SP	False
159	159	Márcio Biolchi 	Deputado Federal	MDB	6.91	RS	False
160	159	Igor Kannário 	Deputado Federal	UNIÃO	6.91	BA	False
161	161	Rodrigo Cunha	Senador	UNIÃO	6.9	AL	False
162	161	Otoni de Paula 	Deputado Federal	MDB	6.9	RJ	False
